4556828904412461,Visa Card
4556736585633281,Visa Card
4485159003374139,Visa Card
4024007141344092,Visa Card
5142181346315803,Master Card
5320104455333356,Master Card
5299094883676191,Master Card
5116866011088030,Master Card
5221982097024036,Master Card
5572373659951402,Master Card
340963001469582,American Express
346918733690636,American Express
348424600931250,American Express
344921605237314,American Express
342203970468689,American Express
6011289819386826,Discover Card
6011079674290814,Discover Card
6011078544932302,Discover Card
6011142152748129,Discover Card
Invalid card number(larger than 19 or empty)
